HDFC top 100 fund (Growth) SIP Calculation for 3 Years,,,,,
Assuming Investment of Rs 10000 on the first trading day of every month,,,,,
Date,Close,Amount Invested,Shares bought (Assuming partial buying is allowed),,Value of shares bought on 29 March 2023 (SIP returns of last 3 years)
19-07-2022,673.218018,0,0,,
20-07-2022,679.268005,0,0,,
21-07-2022,682.958008,0,0,,
22-07-2022,685.619019,0,0,,
25-07-2022,683.89801,0,0,,
26-07-2022,678.463013,0,0,,
27-07-2022,685.276001,0,0,,
28-07-2022,691.893982,0,0,,
29-07-2022,701.737,0,0,,
01-08-2022,709.140991,10000,14.10156813,,
02-08-2022,709.280029,0,0,,
03-08-2022,709.629028,0,0,,
04-08-2022,708.185974,0,0,,
05-08-2022,710.010986,0,0,,
08-08-2022,715.690979,0,0,,
10-08-2022,717.109009,0,0,,
11-08-2022,722.435974,0,0,,
12-08-2022,726.396973,0,0,,
16-08-2022,731.044006,0,0,,
17-08-2022,735.255005,0,0,,
18-08-2022,735.353027,0,0,,
19-08-2022,727.83197,0,0,,
22-08-2022,718.979004,0,0,,
23-08-2022,722.89801,0,0,,
24-08-2022,724.033997,0,0,,
25-08-2022,721.960022,0,0,,
26-08-2022,724.267029,0,0,,
29-08-2022,714.773987,0,0,,
30-08-2022,730.919006,0,0,,
01-09-2022,722.528992,10000,13.84027508,,
02-09-2022,722.481995,0,0,,
05-09-2022,727.572021,0,0,,
06-09-2022,729.083984,0,0,,
07-09-2022,729.336975,0,0,,
08-09-2022,735.632019,0,0,,
09-09-2022,736.544006,0,0,,
12-09-2022,739.812012,0,0,,
13-09-2022,744.130005,0,0,,
14-09-2022,742.034973,0,0,,
15-09-2022,739.333984,0,0,,
16-09-2022,724.642029,0,0,,
19-09-2022,727.370972,0,0,,
20-09-2022,734.288025,0,0,,
21-09-2022,730.106018,0,0,,
22-09-2022,725.260986,0,0,,
23-09-2022,712.78302,0,0,,
26-09-2022,698.510986,0,0,,
27-09-2022,697.807983,0,0,,
28-09-2022,691.229004,0,0,,
29-09-2022,691.935974,0,0,,
30-09-2022,701.322021,0,0,,
03-10-2022,695.93103,10000,14.36924001,,
04-10-2022,710.945984,0,0,,
06-10-2022,715.562988,0,0,,
07-10-2022,713.926025,0,0,,
10-10-2022,710.83197,0,0,,
11-10-2022,700.986023,0,0,,
12-10-2022,707.29303,0,0,,
13-10-2022,702.840027,0,0,,
14-10-2022,709.195984,0,0,,
17-10-2022,714.356018,0,0,,
18-10-2022,722.112,0,0,,
19-10-2022,722.286011,0,0,,
20-10-2022,724.179016,0,0,,
21-10-2022,724.981995,0,0,,
25-10-2022,731.609009,0,0,,
27-10-2022,736.484009,0,0,,
28-10-2022,737.208984,0,0,,
31-10-2022,745.598022,0,0,,
01-11-2022,750.666016,10000,13.32150355,,
02-11-2022,749.161011,0,0,,
03-11-2022,748.333984,0,0,,
04-11-2022,748.252014,0,0,,
07-11-2022,753.099976,0,0,,
09-11-2022,751.387024,0,0,,
10-11-2022,746.02301,0,0,,
11-11-2022,758.013977,0,0,,
14-11-2022,756.104004,0,0,,
15-11-2022,759.257996,0,0,,
16-11-2022,759.487976,0,0,,
17-11-2022,757.713013,0,0,,
18-11-2022,755.125,0,0,,
21-11-2022,750.521973,0,0,,
22-11-2022,753.729004,0,0,,
23-11-2022,755.138977,0,0,,
24-11-2022,764.005005,0,0,,
25-11-2022,766.575012,0,0,,
28-11-2022,768.533997,0,0,,
29-11-2022,770.156982,0,0,,
30-11-2022,774.78302,0,0,,
01-12-2022,777.11499,10000,12.86810849,,
02-12-2022,773.617981,0,0,,
05-12-2022,774.29303,0,0,,
06-12-2022,770.986023,0,0,,
07-12-2022,769.369019,0,0,,
08-12-2022,772.453979,0,0,,
09-12-2022,768.560974,0,0,,
12-12-2022,770.203003,0,0,,
13-12-2022,774.020996,0,0,,
14-12-2022,776.38501,0,0,,
15-12-2022,767.091003,0,0,,
16-12-2022,760.260986,0,0,,
19-12-2022,765.416016,0,0,,
20-12-2022,763.39801,0,0,,
21-12-2022,755.578979,0,0,,
22-12-2022,752.65802,0,0,,
23-12-2022,739.065002,0,0,,
26-12-2022,750.200989,0,0,,
27-12-2022,753.690002,0,0,,
28-12-2022,753.098022,0,0,,
29-12-2022,756.309998,0,0,,
30-12-2022,753.200989,0,0,,
02-01-2023,758.362976,10000,13.18629774,,
03-01-2023,760.979004,0,0,,
04-01-2023,753.104004,0,0,,
05-01-2023,753.573975,0,0,,
06-01-2023,748.893982,0,0,,
09-01-2023,758.122009,0,0,,
10-01-2023,751.096008,0,0,,
11-01-2023,750.523987,0,0,,
12-01-2023,749.478027,0,0,,
13-01-2023,753.648987,0,0,,
16-01-2023,750.697998,0,0,,
17-01-2023,755.262024,0,0,,
18-01-2023,760.583008,0,0,,
19-01-2023,760.286987,0,0,,
20-01-2023,759.375,0,0,,
23-01-2023,763.065002,0,0,,
24-01-2023,761.948975,0,0,,
25-01-2023,751.179016,0,0,,
27-01-2023,739.348999,0,0,,
30-01-2023,739.908997,0,0,,
31-01-2023,743.02301,0,0,,
01-02-2023,740.708008,10000,13.50059658,,
02-02-2023,742.838013,0,0,,
03-02-2023,752.213013,0,0,,
06-02-2023,750.43103,0,0,,
07-02-2023,747.721008,0,0,,
08-02-2023,751.976013,0,0,,
09-02-2023,752.557007,0,0,,
10-02-2023,751.383972,0,0,,
13-02-2023,747.237976,0,0,,
14-02-2023,752.728027,0,0,,
15-02-2023,755.874023,0,0,,
16-02-2023,757.398987,0,0,,
17-02-2023,753.961975,0,0,,
20-02-2023,750.27002,0,0,,
21-02-2023,750.307007,0,0,,
22-02-2023,740.60199,0,0,,
23-02-2023,739.450012,0,0,,
24-02-2023,737.911987,0,0,,
27-02-2023,735.585022,0,0,,
28-02-2023,732.356995,0,0,,
01-03-2023,738.638,10000,13.53843155,,
02-03-2023,734.112,0,0,,
03-03-2023,745.215027,0,0,,
06-03-2023,750.778992,0,0,,
08-03-2023,754.335022,0,0,,
09-03-2023,749.304016,0,0,,
10-03-2023,742.192993,0,0,,
13-03-2023,730.276978,0,0,,
14-03-2023,727.072998,0,0,,
15-03-2023,723.142029,0,0,,
16-03-2023,724.078003,0,0,,
17-03-2023,727.869019,0,0,,
20-03-2023,722.672974,0,0,,
21-03-2023,728.153015,0,0,,
22-03-2023,729.379028,0,0,,
23-03-2023,726.541992,0,0,,
24-03-2023,721.247009,0,0,,
27-03-2023,722.258972,0,0,,
28-03-2023,720.95697,0,0,,
29-03-2023,726.202026,0,0,,
31-03-2023,736.869995,0,0,,
03-04-2023,739.409973,10000,13.52429689,,
05-04-2023,745.90802,0,0,,
06-04-2023,747.669006,0,0,,
10-04-2023,750.382019,0,0,,
11-04-2023,753.283997,0,0,,
12-04-2023,756.030029,0,0,,
13-04-2023,754.879028,0,0,,
17-04-2023,749.276978,0,0,,
18-04-2023,748.713989,0,0,,
19-04-2023,745.973022,0,0,,
20-04-2023,747.104004,0,0,,
21-04-2023,746.635986,0,0,,
24-04-2023,752.546021,0,0,,
25-04-2023,753.531982,0,0,,
26-04-2023,756.176025,0,0,,
27-04-2023,759.801025,0,0,,
28-04-2023,766.36499,0,0,,
02-05-2023,770.27002,10000,12.98246036,,
03-05-2023,768.361023,0,0,,
04-05-2023,773.596985,0,0,,
05-05-2023,765.465027,0,0,,
08-05-2023,773.161987,0,0,,
09-05-2023,772.887024,0,0,,
10-05-2023,774.611023,0,0,,
11-05-2023,774.156982,0,0,,
12-05-2023,774.698975,0,0,,
15-05-2023,779.721985,0,0,,
16-05-2023,777.617981,0,0,,
17-05-2023,773.812988,0,0,,
18-05-2023,771.211975,0,0,,
19-05-2023,773.708008,0,0,,
22-05-2023,776.223022,0,0,,
23-05-2023,777.064026,0,0,,
24-05-2023,775.630981,0,0,,
25-05-2023,777.169006,0,0,,
26-05-2023,783.434021,0,0,,
29-05-2023,788.583984,0,0,,
30-05-2023,790.960022,0,0,,
31-05-2023,787.43103,0,0,,
01-06-2023,785.049988,10000,12.73804236,,
02-06-2023,788.849976,0,0,,
05-06-2023,792.52301,0,0,,
06-06-2023,792.968018,0,0,,
07-06-2023,798.864014,0,0,,
08-06-2023,796.107971,0,0,,
09-06-2023,794.906006,0,0,,
12-06-2023,796.14801,0,0,,
13-06-2023,800.609009,0,0,,
14-06-2023,801.672974,0,0,,
15-06-2023,799.176025,0,0,,
16-06-2023,804.268005,0,0,,
19-06-2023,801.560974,0,0,,
20-06-2023,804.377014,0,0,,
21-06-2023,806.47998,0,0,,
22-06-2023,802.531006,0,0,,
23-06-2023,798.822021,0,0,,
26-06-2023,799.885986,0,0,,
27-06-2023,805.247009,0,0,,
28-06-2023,812.906006,0,0,,
30-06-2023,821.190002,0,0,,
03-07-2023,826.14801,10000,12.10436856,,
04-07-2023,827.492004,0,0,,
05-07-2023,827.20697,0,0,,
06-07-2023,831.960022,0,0,,
07-07-2023,826.557007,0,0,,
10-07-2023,826.541992,0,0,,
11-07-2023,830.739014,0,0,,
12-07-2023,828.84198,0,0,,
13-07-2023,828.971985,0,0,,
14-07-2023,834.229004,0,0,,
17-07-2023,838.825012,0,0,,
18-07-2023,839.867004,0,0,,
19-07-2023,844.713013,0,0,,
20-07-2023,850.447998,0,0,,
21-07-2023,843.492004,0,0,,
24-07-2023,843.815002,0,0,,
25-07-2023,844.385986,0,0,,
26-07-2023,849.784973,0,0,,
27-07-2023,848.799011,0,0,,
28-07-2023,849.359985,0,0,,
